id,Product Name,Price,Size,Units,Category,Min Level,Stock,count,re-stock Price,Supplier,Barcode/QR2-Data,Barcode/QR2-Type,Notes,Tags,Value,Photo1,Photo2,Photo3,Created At,Updated At
6,Lucky Me Batchoy Small,35,40,Grams,Food Packs,,9,9,,,4807770271168,org.gs1.EAN-13,,,315,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
8,Lucky Me Spicy Batchoy Small,35,40,Grams,Food Packs,,5,5,,,4807770273810,org.gs1.EAN-13,Product name converted to Title Case,,175,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
9,Lucky Me Bulalo Instant Noodle Soup Small,35,40,Grams,Food Packs,,9,9,,,4807770271175,org.gs1.EAN-13,Product name converted to Title Case,,315,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
10,Lucky Me Spicy Bulalo Small,35,40,Grams,Food Packs,,0,0,,,4807770273612,org.gs1.EAN-13,Product name converted to Title Case,,,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
11,Lucky Me  Batchoy Big,65,70,Grams,Food Packs,,10,10,,,4807770272110,org.gs1.EAN-13,,,650,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
12,Lucky Me Bulalo Instant Noodle Soup Big,65,70,Grams,Food Packs,,3,3,,,4807770272127,org.gs1.EAN-13,,,195,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
13,Silver Swan Sukang Puti Bottle,35,385,ml,Kitchen & Condiments,,0,0,,,4800344004421,org.gs1.EAN-13,Product name converted to Title Case,,,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
14,Silver Swan Sukang Puti Pouch,15,200,ml,Kitchen & Condiments,,13,13,,,0,org.gs1.EAN-13,Product name converted to Title Case,,195,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
15,Silver Swan Sukang Soy Sauce,15,200,ml,Kitchen & Condiments,,12,12,,,0,org.gs1.EAN-13,Product name converted to Title Case,,180,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
16,Uni-Pak Sardines,30,155,Grams,Food Packs,,5,5,,,4800154568618,org.gs1.EAN-13,Product name converted to Title Case,,150,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
17,Lucky 7 Carne Norte,50,150,Grams,Food Packs,,5,5,,,748485801728,org.gs1.UPC-A,,,250,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
