SID,Category,Product Name,Temp Stock,Stock,Size,Units,Price,8/2,8/2 $,8/3,8/3 $,8/4,8/4 $,8/5,8/5 $,8/6,8/6 $,Min Level,re-stock Quantity,re-stock Price,Supplier,Barcode/QR2-Data,Barcode/QR2-Type,Value,Tags,Notes,Stock July,Thu 7/24,Fri 7/25,Sat 7/26,Sun 7/27,Mon 7/28,Tue 7/29,Wed 7/30,Thu 7/31,Photo1
SPBR-INV-0232,Cold Beverages,5 Gallon Mineral Water,,5,5,Gal,₱ 100,,,,,,,,,,,,,,,0,EAN,₱ 500,,,,,,,,,,,,
SPBR-INV-0020,Food Packs,555 tuna bicol express,,0,155,Grams,₱ 50,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,3,,,,748485700090,org.gs1.UPC-A,₱ 0,,,1,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_ketDYfzultqu5Deqshf9kASMcXa6ZK1hZPyeVQnFyhFlWFL8dkSCBA==
SPBR-INV-0018,Food Packs,555 tuna Caldereta,,1,155,Grams,₱ 50,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,3,,,,748485700038,org.gs1.UPC-A,₱ 50,,,1,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_1SvYVzsGJfBVJb7oxHow1-cN2plljGVcWaBGIM8X5-bzgTkyv-ngmw==
SPBR-INV-0231,Kitchen & Condiments,Ajinomoto,,16,,,₱ 8,,₱ 0,3,₱ 24,,₱ 0,,₱ 0,,₱ 0,,,,,0,EAN,₱ 128,,,,,,,,,,,,
SPBR-INV-0227,Supplies,Baygon Katol,,45,,,₱ 5,1,₱ 5,,₱ 0,,₱ 0,,₱ 0,,₱ 0,10,,,,0,EAN,₱ 225,,,,,,,,,,,,
SPBR-INV-0226,Food Packs,Bee Happy Jasmine Rice,,5,2,Kilogram,₱ 170,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,2,,,,0,EAN,₱ 850,,,,,,,,,,,,
SPBR-INV-0045,Toiletries,Bioderm family germicidal soap bloom,,5,60,Grams,₱ 30,,₱ 0,2,₱ 60,,₱ 0,,₱ 0,,₱ 0,5,,,,4800011782805,org.gs1.EAN-13,₱ 150,,,5,,,1,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_42uSzX6UXHjdZYBU2hfaIBvevNVV34kNKPMpRo4lrlQTs8uQUoJceg==
SPBR-INV-0044,Toiletries,Bioderm family germicidal soap coolness,,2,60,Grams,₱ 30,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,5,,,,4800011113937,org.gs1.EAN-13,₱ 60,,,3,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_A85ypJVvYr7D6N4itBGN66IS5fBKO8zjCdOi2NImL9NELn9d-CBpCQ==
SPBR-INV-0092,Hot Beverages,Birch tree fortified choco,,18,29,Grams,₱ 20,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,8,,,,748485401621,org.gs1.UPC-A,₱ 360,,,11,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_Ps3CSfUWGF4-ldXA7dAjYp76L1x_MIFqSbrtMDI8_2010_leEX9h3Q==
SPBR-INV-0091,Hot Beverages,Birch tree fortified milk,,18,33,Grams,₱ 20,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,8,,,,748485401492,org.gs1.UPC-A,₱ 360,,,18,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_aJBtRtwSQhMbPWfFSwcI8wS2xXI--hRMIP2QFsRRQ9cT3R6de5ZzSQ==
